alias,cn_uni_id
清华,tsinghua
THU,tsinghua
清华大学,tsinghua
北大,pku
PKU,pku
北京大学,pku
复旦,fudan
Fudan,fudan
复旦大学,fudan
上交,sjtu
交大,sjtu
SJTU,sjtu
上海交大,sjtu
上海交通大学,sjtu
浙大,zju
ZJU,zju
浙江大学,zju
南大,nju
NJU,nju
南京大学,nju
中科大,ustc
USTC,ustc
科大,ustc
中国科学技术大学,ustc
哈工大,hit
HIT,hit
哈尔滨工业大学,hit
西交,xjtu
XJTU,xjtu
西安交大,xjtu
西安交通大学,xjtu
北航,buaa
BUAA,buaa
北京航空航天大学,buaa
同济,tongji
同济大学,tongji
天大,tju
TJU,tju
天津大学,tju
南开,nankai
南开大学,nankai
东南,seu
SEU,seu
东南大学,seu
华科,hust
HUST,hust
华中科技大学,hust
武大,whu
WHU,whu
武汉大学,whu
中山,sysu
SYSU,sysu
中山大学,sysu
川大,scu
SCU,scu
四川大学,scu
吉大,jlu
JLU,jlu
吉林大学,jlu
厦大,xmu
XMU,xmu
厦门大学,xmu
山大,sdu
SDU,sdu
山东大学,sdu
中南,csu
CSU,csu
中南大学,csu
大工,dlut
DLUT,dlut
大连理工大学,dlut
华南理工,scut
SCUT,scut
华南理工大学,scut
成电,uestc
电子科大,uestc
UESTC,uestc
电子科技大学,uestc
重大,cqu
CQU,cqu
重庆大学,cqu
兰大,lzu
LZU,lzu
兰州大学,lzu
东大,neu
NEU,neu
东北大学,neu
湖大,hnu
HNU,hnu
湖南大学,hnu
北理工,bit
BIT,bit
北京理工大学,bit
北师大,bnu
BNU,bnu
北京师范大学,bnu
农大,cau
中国农大,cau
CAU,cau
中国农业大学,cau
国防科大,nudt
NUDT,nudt
国防科技大学,nudt
民大,muc
中央民大,muc
MUC,muc
华东师大,ecnu
ECNU,ecnu
华东师范大学,ecnu
西工大,nwpu
NWPU,nwpu
西北工大,nwpu
西北工业大学,nwpu
海大,ouc
OUC,ouc
中国海洋大学,ouc
西农,nwsuaf
NWSUAF,nwsuaf
西北农林,nwsuaf
西北农林科技大学,nwsuaf
人大,ruc
RUC,ruc
中国人民大学,ruc
北邮,bupt
BUPT,bupt
北京邮电大学,bupt
上财,sufe
SUFE,sufe
上海财经大学,sufe
央财,cufe
中财,cufe
CUFE,cufe
中央财经大学,cufe
对外经贸,uibe
贸大,uibe
UIBE,uibe
对外经济贸易大学,uibe
政法大学,cupl
中政法,cupl
CUPL,cupl
中国政法大学,cupl
北外,bfsu
BFSU,bfsu
北京外国语大学,bfsu
上外,shisu
SHISU,shisu
上海外国语大学,shisu
西电,xidian
Xidian,xidian
西安电子科技大学,xidian
南航,nuaa
NUAA,nuaa
南京航空航天大学,nuaa
南理工,njust
NJUST,njust
南京理工大学,njust
苏大,suda
苏州大学,suda
暨大,jnu
暨南大学,jnu
华中师大,ccnu
CCNU,ccnu
华中师范大学,ccnu
深大,szu
SZU,szu
深圳大学,szu
江大,jiangsu_univ
江苏大学,jiangsu_univ
杭电,hdu
HDU,hdu
杭州电子科技大学,hdu
南邮,njupt
NJUPT,njupt
南京邮电大学,njupt
南信大,nuist
NUIST,nuist
南京信息工程大学,nuist
西浦,xjtlu
XJTLU,xjtlu
西交利物浦大学,xjtlu
宁诺,unnottm
宁波诺丁汉大学,unnottm
