uk_uni_id,cn_tier,subject_group,min_avg_score,source_type,source_url,source_year,confidence,valid_until
oxford,985,通用,80,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
oxford,211,通用,80,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
oxford,双非,通用,85,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
cambridge,985,通用,85,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
cambridge,211,通用,88,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
cambridge,双非,通用,90,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
imperial,985,通用,80,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
imperial,211,通用,80,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
lse,985,通用,85,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
lse,211,通用,85,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
lse,双非,通用,90,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
kcl,985,通用,80,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
kcl,211,通用,80,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
kcl,双非,通用,85,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
manchester,985,通用,80,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
manchester,211,通用,82,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
warwick,985,通用,75,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
warwick,211,通用,77,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
warwick,双非,通用,88,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
glasgow,985,通用,75,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
glasgow,211,通用,80,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
glasgow,双非,通用,85,aggregator,https://www.testdaily.cn/64451/,2025,low,2026-09-01
