src_major_category,tgt_subject_group,fit_level,required_prereqs,note,reviewed,n_cases,offer_rate,裁决,修改值,备注,status
电子电气类,工科,对口,,,false,暂无案例,暂无案例,,,,existing
电子电气类,CS与数据,可转,编程基础,EE转CS英国接受度高,false,暂无案例,暂无案例,,,,existing
法学类,法律,对口,,,false,暂无案例,暂无案例,,,,existing
管理类,传媒,可转,,营销传播方向,false,暂无案例,暂无案例,,,,existing
管理类,商科金融,对口,,纯管理转金融部分校卡量化课,false,暂无案例,暂无案例,,,,existing
机械自动化类,工科,对口,,,false,暂无案例,暂无案例,,,,existing
机械自动化类,CS与数据,可转,编程基础;数学,部分校仅收转换课程,false,暂无案例,暂无案例,,,,existing
计算机类,工科,对口,,,false,暂无案例,暂无案例,,,,existing
计算机类,商科金融,可转,,商业分析/金科友好,false,暂无案例,暂无案例,,,,existing
计算机类,CS与数据,对口,,本科CS/软工直申,false,暂无案例,暂无案例,,,,existing
经济金融类,商科金融,对口,,,false,暂无案例,暂无案例,,,,existing
经济金融类,社科,对口,,,false,暂无案例,暂无案例,,,,existing
理科类,教育,可转,,学科教学方向,false,暂无案例,暂无案例,,,,existing
理科类,理科,对口,,,false,暂无案例,暂无案例,,,,existing
数学统计类,理科,对口,,,false,暂无案例,暂无案例,,,,existing
数学统计类,商科金融,可转,,金融数学/金工友好,false,暂无案例,暂无案例,,,,existing
数学统计类,CS与数据,可转,编程基础;数据结构,需课程描述佐证,false,暂无案例,暂无案例,,,,existing
土木建筑类,工科,对口,,,false,暂无案例,暂无案例,,,,existing
文科类,传媒,对口,,,false,暂无案例,暂无案例,,,,existing
文科类,法律,可转,,部分LLM收非法本,false,暂无案例,暂无案例,,,,existing
文科类,教育,对口,,,false,暂无案例,暂无案例,,,,existing
文科类,商科金融,可转,数学基础,管理/市场方向可,false,暂无案例,暂无案例,,,,existing
文科类,社科,对口,,,false,暂无案例,暂无案例,,,,existing
文科类,CS与数据,不可转,,可申conversion course另议,false,暂无案例,暂无案例,,,,existing
医学类,CS与数据,不可转,,医学背景与CS相距甚远；conversion course 极少被顶校接受,false,暂无案例,暂无案例,,,,draft
医学类,公共卫生,对口,,MPH/MScPH 对口；流行病学背景尤佳,false,暂无案例,暂无案例,,,,draft
医学类,社科,可转,,医学社会学/医学人类学方向可申，需说明动机,false,暂无案例,暂无案例,,,,draft
护理类,社科,可转,,公共卫生政策/健康社会学方向；部分校接受护理背景,false,暂无案例,暂无案例,,,,draft
经济金融类,CS与数据,可转,编程基础;数学,金融科技/数据分析方向；需提供编程课证明,false,暂无案例,暂无案例,,,,draft
计算机类,法律,可转,,LLM科技法/知识产权方向；部分院校明确欢迎CS背景,false,暂无案例,暂无案例,,,,draft
数学统计类,工科,可转,基础工程课,统计/运筹学方向；部分工程项目认可数学背景,false,暂无案例,暂无案例,,,,draft
电子电气类,商科金融,可转,,金融工程/量化方向；EE数学底子被认可,false,暂无案例,暂无案例,,,,draft
土木建筑类,商科金融,可转,,房地产金融/基础设施投融资方向,false,暂无案例,暂无案例,,,,draft
理科类,CS与数据,可转,编程基础,物理/化学/生物→数据科学；需课程描述含编程,false,暂无案例,暂无案例,,,,draft
理科类,商科金融,可转,数学基础,统计/数据分析路线；金融数学方向友好,false,暂无案例,暂无案例,,,,draft
管理类,社科,对口,,公共管理/社会政策方向直申,false,暂无案例,暂无案例,,,,draft
管理类,教育,可转,,教育管理/高等教育政策方向,false,暂无案例,暂无案例,,,,draft
文科类,法律,可转,,已有映射，此为draft补充确认；部分LLM收非法本,false,暂无案例,暂无案例,,,,draft
外语类,教育,对口,,TESOL/对外汉语教学方向直申,false,暂无案例,暂无案例,,,,draft
外语类,传媒,对口,,跨文化传播/国际新闻方向对口,false,暂无案例,暂无案例,,,,draft
艺术设计类,传媒,可转,,视觉传播/数字媒体方向；作品集权重大,false,暂无案例,暂无案例,,,,draft
艺术设计类,教育,可转,,艺术教育方向；部分院校专门设 Art & Design Education,false,暂无案例,暂无案例,,,,draft
法学类,社科,对口,,法社会学/犯罪学方向；英国 LLM/MSc Law 均接受,false,暂无案例,暂无案例,,,,draft
计算机类,理科,可转,,计算数学/计算物理方向；视具体项目,false,暂无案例,暂无案例,,,,draft
机械自动化类,理科,可转,,工程物理/材料方向，看项目偏重,false,暂无案例,暂无案例,,,,draft
土木建筑类,理科,可转,环境科学基础,环境工程/地球科学方向；draft供顾问判断，fit_level存疑,false,暂无案例,暂无案例,,,,draft
经济金融类,教育,可转,,教育经济学/政策评估方向；部分 Education Policy 项目欢迎,false,暂无案例,暂无案例,,,,draft
护理类,教育,可转,,医学教育/护理教育方向；小众但存在,false,暂无案例,暂无案例,,,,draft
理科类,工科,可转,基础工程课,化工/环境工程方向；理工边界模糊，draft,false,暂无案例,暂无案例,,,,draft
文科类,商科金融,可转,数学基础,已有映射，此行作为alt fit_level草案——部分校更严格，供复核,false,暂无案例,暂无案例,,,,draft
